epoch,step,train_loss,valid_loss_epoch
0,389,,0.11901302635669708
0,389,0.2059711366891861,
1,779,,0.10673805326223373
1,779,0.12150217592716217,
2,1169,,0.09756223112344742
2,1169,0.10138170421123505,
3,1559,,0.09062887728214264
3,1559,0.09132920950651169,
4,1949,,0.08501500636339188
4,1949,0.08600463718175888,
5,2339,,0.08479480445384979
5,2339,0.08168816566467285,
6,2729,,0.08153215795755386
6,2729,0.0766659677028656,
7,3119,,0.08653697371482849
7,3119,0.07417718321084976,
8,3509,,0.07791783660650253
8,3509,0.07259957492351532,
9,3899,,0.07697051763534546
9,3899,0.06668851524591446,
10,4289,,0.07825643569231033
10,4289,0.0671275332570076,
11,4679,,0.08010758459568024
11,4679,0.06435312330722809,
12,5069,,0.0747823640704155
12,5069,0.06350347399711609,
13,5459,,0.0753682404756546
13,5459,0.06071767956018448,
14,5849,,0.07633216679096222
14,5849,0.060616519302129745,
15,6239,,0.0750698670744896
15,6239,0.059234216809272766,
16,6629,,0.07325702905654907
16,6629,0.05780455842614174,
17,7019,,0.07337740063667297
17,7019,0.05730130150914192,
18,7409,,0.07491853088140488
18,7409,0.05730600655078888,
19,7799,,0.07332666963338852
19,7799,0.055776454508304596,
20,8189,,0.0703183189034462
20,8189,0.05494387820363045,
21,8579,,0.07842448353767395
21,8579,0.0523737408220768,
22,8969,,0.07292739301919937
22,8969,0.054276179522275925,
23,9359,,0.07312092930078506
23,9359,0.05232681334018707,
24,9749,,0.07184287160634995
24,9749,0.05206215754151344,
25,10139,,0.07580845803022385
25,10139,0.052947331219911575,
26,10529,,0.0737910121679306
26,10529,0.05294937267899513,
27,10919,,0.07101006805896759
27,10919,0.05142705887556076,
28,11309,,0.07538619637489319
28,11309,0.04940473660826683,
29,11699,,0.07101554423570633
29,11699,0.05063103884458542,
30,12089,,0.07433509081602097
30,12089,0.04877718538045883,
31,12479,,0.07144472748041153
31,12479,0.048829495906829834,
32,12869,,0.07485336810350418
32,12869,0.049399442970752716,
33,13259,,0.06875497102737427
33,13259,0.04832028970122337,
34,13649,,0.06948568671941757
34,13649,0.048056710511446,
35,14039,,0.06811117380857468
35,14039,0.04696733504533768,
36,14429,,0.08016587793827057
36,14429,0.04835698381066322,
37,14819,,0.06968755275011063
37,14819,0.04899614304304123,
38,15209,,0.06849251687526703
38,15209,0.046496834605932236,
39,15599,,0.06973914802074432
39,15599,0.04582756757736206,
40,15989,,0.0745796486735344
40,15989,0.04607927426695824,
41,16379,,0.07028213143348694
41,16379,0.04713929444551468,
42,16769,,0.07256871461868286
42,16769,0.04564555361866951,
43,17159,,0.07478320598602295
43,17159,0.04481876641511917,
44,17549,,0.07428523153066635
44,17549,0.046196360141038895,
45,17939,,0.07065000385046005
45,17939,0.04623028635978699,
46,18329,,0.06989783048629761
46,18329,0.044894419610500336,
47,18719,,0.07199928909540176
47,18719,0.04453813284635544,
48,19109,,0.071600541472435
48,19109,0.044476334005594254,
49,19499,,0.06812253594398499
49,19499,0.04515891522169113,
50,19889,,0.07412513345479965
50,19889,0.0444110706448555,
