epoch,step,train_loss,valid_loss_epoch
0,389,,0.1800496131181717
0,389,0.20419467985630035,
1,779,,0.17510917782783508
1,779,0.1795099377632141,
2,1169,,0.17339105904102325
2,1169,0.17651823163032532,
3,1559,,0.17226427793502808
3,1559,0.17488142848014832,
4,1949,,0.17230954766273499
4,1949,0.1737682968378067,
5,2339,,0.17128698527812958
5,2339,0.17303021252155304,
6,2729,,0.1698315292596817
6,2729,0.1723962426185608,
7,3119,,0.16941264271736145
7,3119,0.17193745076656342,
8,3509,,0.16964569687843323
8,3509,0.17164479196071625,
9,3899,,0.16943329572677612
9,3899,0.17138329148292542,
10,4289,,0.16928468644618988
10,4289,0.17105495929718018,
11,4679,,0.16837674379348755
11,4679,0.17092958092689514,
12,5069,,0.16849295794963837
12,5069,0.17072562873363495,
13,5459,,0.1684780716896057
13,5459,0.17054499685764313,
14,5849,,0.16807593405246735
14,5849,0.1704559177160263,
15,6239,,0.16817276179790497
15,6239,0.17027509212493896,
16,6629,,0.16795064508914948
16,6629,0.17012125253677368,
17,7019,,0.16767966747283936
17,7019,0.16992256045341492,
18,7409,,0.16737619042396545
18,7409,0.1699599027633667,
19,7799,,0.16727949678897858
19,7799,0.16996246576309204,
20,8189,,0.1675361841917038
20,8189,0.16977085173130035,
21,8579,,0.16762037575244904
21,8579,0.16966715455055237,
22,8969,,0.16783885657787323
22,8969,0.16958610713481903,
23,9359,,0.1671784371137619
23,9359,0.16951212286949158,
24,9749,,0.16670864820480347
24,9749,0.16930672526359558,
25,10139,,0.16717281937599182
25,10139,0.1692446917295456,
26,10529,,0.16728819906711578
26,10529,0.16896677017211914,
27,10919,,0.16680940985679626
27,10919,0.16910213232040405,
28,11309,,0.16768938302993774
28,11309,0.1690339297056198,
29,11699,,0.1665171980857849
29,11699,0.16888214647769928,
30,12089,,0.16697917878627777
30,12089,0.16894295811653137,
31,12479,,0.16654963791370392
31,12479,0.16884173452854156,
32,12869,,0.1660442352294922
32,12869,0.16864852607250214,
33,13259,,0.16649872064590454
33,13259,0.16869871318340302,
34,13649,,0.1670531928539276
34,13649,0.16865378618240356,
35,14039,,0.1668372005224228
35,14039,0.16841500997543335,
36,14429,,0.16667307913303375
36,14429,0.16844676434993744,
37,14819,,0.1665761023759842
37,14819,0.16849736869335175,
