epoch,step,train_loss,valid_loss_epoch
0,389,,0.13907641172409058
0,389,0.1604999303817749,
1,779,,0.13154855370521545
1,779,0.13537448644638062,
2,1169,,0.12802785634994507
2,1169,0.1301746517419815,
3,1559,,0.12615004181861877
3,1559,0.12744446098804474,
4,1949,,0.12510323524475098
4,1949,0.1256479173898697,
5,2339,,0.1243385523557663
5,2339,0.12476790696382523,
6,2729,,0.12382205575704575
6,2729,0.12423914670944214,
7,3119,,0.12362907826900482
7,3119,0.12383133172988892,
8,3509,,0.12326808273792267
8,3509,0.12340095639228821,
9,3899,,0.12292236089706421
9,3899,0.12306272238492966,
10,4289,,0.12331458181142807
10,4289,0.1229328140616417,
11,4679,,0.12311353534460068
11,4679,0.12262197583913803,
12,5069,,0.12242643535137177
12,5069,0.12248440086841583,
13,5459,,0.12246958911418915
13,5459,0.1222192645072937,
14,5849,,0.1221492737531662
14,5849,0.122152179479599,
15,6239,,0.12187474966049194
15,6239,0.12197763472795486,
16,6629,,0.12206818908452988
16,6629,0.12173561006784439,
17,7019,,0.12170445173978806
17,7019,0.1216159537434578,
18,7409,,0.12209533154964447
18,7409,0.12157849967479706,
19,7799,,0.1218811497092247
19,7799,0.12146905064582825,
20,8189,,0.12127409130334854
20,8189,0.12133573740720749,
21,8579,,0.12163957208395004
21,8579,0.12116972357034683,
22,8969,,0.12154944241046906
22,8969,0.12108755856752396,
23,9359,,0.12108011543750763
23,9359,0.12097164988517761,
24,9749,,0.1212877482175827
24,9749,0.12093131244182587,
25,10139,,0.12125853449106216
25,10139,0.12088590115308762,
26,10529,,0.12102827429771423
26,10529,0.12076227366924286,
27,10919,,0.12144714593887329
27,10919,0.12062040716409683,
28,11309,,0.12099836021661758
28,11309,0.12056899070739746,
29,11699,,0.12110082805156708
29,11699,0.12048398703336716,
30,12089,,0.12111657112836838
30,12089,0.12055743485689163,
31,12479,,0.12082474678754807
31,12479,0.12047223746776581,
32,12869,,0.12092171609401703
32,12869,0.12043806165456772,
33,13259,,0.1211930587887764
33,13259,0.12046999484300613,
34,13649,,0.12085983902215958
34,13649,0.12035935372114182,
35,14039,,0.12048473209142685
35,14039,0.12021451443433762,
36,14429,,0.12080322951078415
36,14429,0.1201099082827568,
37,14819,,0.12057891488075256
37,14819,0.12011221051216125,
38,15209,,0.1204586997628212
38,15209,0.1200372651219368,
39,15599,,0.12002450227737427
39,15599,0.12006165832281113,
40,15989,,0.12040992081165314
40,15989,0.11984741687774658,
41,16379,,0.11988573521375656
41,16379,0.11987185478210449,
42,16769,,0.12034343928098679
42,16769,0.11970935761928558,
43,17159,,0.12043769657611847
43,17159,0.1198255717754364,
44,17549,,0.1205543503165245
44,17549,0.11980249732732773,
45,17939,,0.12036354094743729
45,17939,0.11983422189950943,
46,18329,,0.12015066295862198
46,18329,0.11965179443359375,
47,18719,,0.1199074313044548
47,18719,0.11961102485656738,
48,19109,,0.12013785541057587
48,19109,0.11958827823400497,
49,19499,,0.12029825896024704
49,19499,0.11961401253938675,
50,19889,,0.12003570795059204
50,19889,0.11963562667369843,
51,20279,,0.12041838467121124
51,20279,0.11957741528749466,
52,20669,,0.11994057893753052
52,20669,0.11948070675134659,
53,21059,,0.11994472146034241
53,21059,0.11946634203195572,
54,21449,,0.1205238625407219
54,21449,0.11953981220722198,
55,21839,,0.11987961828708649
55,21839,0.11945193260908127,
56,22229,,0.11979309469461441
56,22229,0.1194130927324295,
57,22619,,0.11984997987747192
57,22619,0.11940104514360428,
58,23009,,0.11979509145021439
58,23009,0.11941616237163544,
59,23399,,0.11987816542387009
59,23399,0.11927256733179092,
60,23789,,0.12005069851875305
60,23789,0.11924747377634048,
61,24179,,0.11973487585783005
61,24179,0.1192987710237503,
62,24569,,0.11995001882314682
62,24569,0.11932514607906342,
63,24959,,0.11963443458080292
63,24959,0.11930938065052032,
64,25349,,0.11977565288543701
64,25349,0.11934132874011993,
65,25739,,0.12005790323019028
65,25739,0.11916231364011765,
66,26129,,0.1199766993522644
66,26129,0.11911167204380035,
67,26519,,0.1197495087981224
67,26519,0.11914375424385071,
68,26909,,0.11959119886159897
68,26909,0.11900673806667328,
69,27299,,0.11963244527578354
69,27299,0.11903611570596695,
70,27689,,0.1198517456650734
70,27689,0.11904781311750412,
71,28079,,0.1198473870754242
71,28079,0.11907538026571274,
72,28469,,0.11949863284826279
72,28469,0.11898580938577652,
73,28859,,0.11967305839061737
73,28859,0.11898376047611237,
74,29249,,0.1197599396109581
74,29249,0.11898871511220932,
75,29639,,0.11965391039848328
75,29639,0.1190294697880745,
76,30029,,0.11968617886304855
76,30029,0.11899378150701523,
77,30419,,0.1196572557091713
77,30419,0.11899211257696152,
78,30809,,0.11970730125904083
78,30809,0.11895254254341125,
79,31199,,0.11954523622989655
79,31199,0.11903157085180283,
80,31589,,0.119740791618824
80,31589,0.11899275332689285,
81,31979,,0.11973218619823456
81,31979,0.1189882904291153,
82,32369,,0.11988933384418488
82,32369,0.11901943385601044,
83,32759,,0.11989719420671463
83,32759,0.11893744766712189,
84,33149,,0.1195412427186966
84,33149,0.11887451261281967,
85,33539,,0.11970807611942291
85,33539,0.11888812482357025,
86,33929,,0.11946379393339157
86,33929,0.11899304389953613,
87,34319,,0.11976595968008041
87,34319,0.11893299967050552,
88,34709,,0.12016697227954865
88,34709,0.1188429519534111,
89,35099,,0.11966173350811005
89,35099,0.11894354224205017,
90,35489,,0.11950499564409256
90,35489,0.1189083382487297,
91,35879,,0.1196807324886322
91,35879,0.11885710805654526,
92,36269,,0.1195184737443924
92,36269,0.11887972056865692,
93,36659,,0.11964346468448639
93,36659,0.11884056776762009,
94,37049,,0.11955832690000534
94,37049,0.11891653388738632,
95,37439,,0.11941304057836533
95,37439,0.11883777379989624,
96,37829,,0.11940044909715652
96,37829,0.11879310756921768,
97,38219,,0.11956613510847092
97,38219,0.11870141327381134,
98,38609,,0.11946921050548553
98,38609,0.11871387809515,
99,38999,,0.11939254403114319
99,38999,0.11874391883611679,
