epoch,step,train_loss,valid_loss_epoch
0,389,,0.13995975255966187
0,389,0.16466930508613586,
1,779,,0.13106635212898254
1,779,0.13623379170894623,
2,1169,,0.12658637762069702
2,1169,0.12930552661418915,
3,1559,,0.1234721690416336
3,1559,0.12532691657543182,
4,1949,,0.12210022658109665
4,1949,0.12304336577653885,
5,2339,,0.12139302492141724
5,2339,0.12186691910028458,
6,2729,,0.12021627277135849
6,2729,0.12094709277153015,
7,3119,,0.12008415907621384
7,3119,0.11986710876226425,
8,3509,,0.11895142495632172
8,3509,0.11923762410879135,
9,3899,,0.11926518380641937
9,3899,0.11914600431919098,
10,4289,,0.11911753565073013
10,4289,0.11878259479999542,
11,4679,,0.11861103773117065
11,4679,0.11837614327669144,
12,5069,,0.11840257793664932
12,5069,0.11816602200269699,
13,5459,,0.1178177148103714
13,5459,0.11802047491073608,
14,5849,,0.11779332906007767
14,5849,0.11761775612831116,
15,6239,,0.1179979220032692
15,6239,0.11741206794977188,
16,6629,,0.11754757165908813
16,6629,0.11729111522436142,
17,7019,,0.11726590991020203
17,7019,0.11708194762468338,
18,7409,,0.11728072166442871
18,7409,0.11709681898355484,
19,7799,,0.11748819053173065
19,7799,0.11700383573770523,
20,8189,,0.11711592972278595
20,8189,0.11663861572742462,
21,8579,,0.11724630743265152
21,8579,0.11648164689540863,
22,8969,,0.11742406338453293
22,8969,0.11648744344711304,
23,9359,,0.11732110381126404
23,9359,0.1164211854338646,
24,9749,,0.11696688085794449
24,9749,0.11608346551656723,
25,10139,,0.11669312417507172
25,10139,0.11600123345851898,
26,10529,,0.11683525890111923
26,10529,0.11603489518165588,
27,10919,,0.11604118347167969
27,10919,0.1160750463604927,
28,11309,,0.11620219796895981
28,11309,0.11586976796388626,
29,11699,,0.11618730425834656
29,11699,0.11554014682769775,
30,12089,,0.1161184310913086
30,12089,0.11563248187303543,
31,12479,,0.11647427827119827
31,12479,0.11541294306516647,
32,12869,,0.1167093962430954
32,12869,0.11533936858177185,
