epoch,step,train_loss,valid_loss_epoch
0,389,,0.15735650062561035
0,389,0.18073011934757233,
1,779,,0.14947500824928284
1,779,0.15378525853157043,
2,1169,,0.1454889178276062
2,1169,0.1481044739484787,
3,1559,,0.1434534639120102
3,1559,0.1453612595796585,
4,1949,,0.14261922240257263
4,1949,0.14385642111301422,
5,2339,,0.14213590323925018
5,2339,0.14294551312923431,
6,2729,,0.14222511649131775
6,2729,0.1424390971660614,
7,3119,,0.1411975920200348
7,3119,0.14179424941539764,
8,3509,,0.1410137265920639
8,3509,0.14142318069934845,
9,3899,,0.1410524696111679
9,3899,0.1414126455783844,
10,4289,,0.14045962691307068
10,4289,0.14102578163146973,
11,4679,,0.14051315188407898
11,4679,0.14084415137767792,
12,5069,,0.14032989740371704
12,5069,0.14077456295490265,
13,5459,,0.140531525015831
13,5459,0.1405181735754013,
14,5849,,0.14061567187309265
14,5849,0.140492245554924,
15,6239,,0.14053736627101898
15,6239,0.14033371210098267,
16,6629,,0.14007970690727234
16,6629,0.14021103084087372,
17,7019,,0.13996677100658417
17,7019,0.1400413066148758,
18,7409,,0.13981802761554718
18,7409,0.13985535502433777,
19,7799,,0.13938263058662415
19,7799,0.13982802629470825,
20,8189,,0.13958905637264252
20,8189,0.13962747156620026,
21,8579,,0.1393047422170639
21,8579,0.13959668576717377,
22,8969,,0.1394786536693573
22,8969,0.13939787447452545,
23,9359,,0.13952991366386414
23,9359,0.13933081924915314,
24,9749,,0.13910269737243652
24,9749,0.1392235904932022,
25,10139,,0.13912610709667206
25,10139,0.13917312026023865,
26,10529,,0.1388055682182312
26,10529,0.13909582793712616,
27,10919,,0.13896998763084412
27,10919,0.1390860676765442,
28,11309,,0.1391112506389618
28,11309,0.13888132572174072,
29,11699,,0.1389966905117035
29,11699,0.13883432745933533,
30,12089,,0.13885675370693207
30,12089,0.13867278397083282,
31,12479,,0.13876843452453613
31,12479,0.13867929577827454,
32,12869,,0.13884057104587555
32,12869,0.138703852891922,
33,13259,,0.13837629556655884
33,13259,0.13862164318561554,
34,13649,,0.13837769627571106
34,13649,0.13860037922859192,
35,14039,,0.13861030340194702
35,14039,0.13848906755447388,
36,14429,,0.13832591474056244
36,14429,0.13841964304447174,
37,14819,,0.13852053880691528
37,14819,0.13832245767116547,
38,15209,,0.13864201307296753
38,15209,0.13836348056793213,
39,15599,,0.1382773369550705
39,15599,0.13829991221427917,
40,15989,,0.13813011348247528
40,15989,0.13838829100131989,
41,16379,,0.13839007914066315
41,16379,0.13820768892765045,
42,16769,,0.13806167244911194
42,16769,0.1382036954164505,
43,17159,,0.13810691237449646
43,17159,0.13814564049243927,
44,17549,,0.13812527060508728
44,17549,0.13810400664806366,
45,17939,,0.1381409913301468
45,17939,0.13806429505348206,
46,18329,,0.13820141553878784
46,18329,0.13816329836845398,
47,18719,,0.1378975510597229
47,18719,0.13805407285690308,
48,19109,,0.1377970576286316
48,19109,0.13797849416732788,
49,19499,,0.137990340590477
49,19499,0.13786308467388153,
