epoch,step,train_loss,valid_loss_epoch
0,389,,0.1483500450849533
0,389,0.1719502955675125,
1,779,,0.14006522297859192
1,779,0.14442895352840424,
2,1169,,0.13636191189289093
2,1169,0.13874195516109467,
3,1559,,0.1340264528989792
3,1559,0.13553719222545624,
4,1949,,0.13319110870361328
4,1949,0.1337837278842926,
5,2339,,0.13182812929153442
5,2339,0.13262131810188293,
6,2729,,0.13185225427150726
6,2729,0.13210870325565338,
7,3119,,0.13111239671707153
7,3119,0.1315304934978485,
8,3509,,0.1308468133211136
8,3509,0.13105735182762146,
9,3899,,0.1310202181339264
9,3899,0.13087302446365356,
10,4289,,0.13105709850788116
10,4289,0.13064195215702057,
11,4679,,0.13066141307353973
11,4679,0.13022546470165253,
12,5069,,0.13014726340770721
12,5069,0.13013353943824768,
13,5459,,0.1301722675561905
13,5459,0.12986335158348083,
14,5849,,0.1299557089805603
14,5849,0.1297825425863266,
15,6239,,0.1297488957643509
15,6239,0.1296069324016571,
16,6629,,0.12980195879936218
16,6629,0.12947402894496918,
17,7019,,0.12958621978759766
17,7019,0.12949059903621674,
18,7409,,0.1295768916606903
18,7409,0.12918294966220856,
19,7799,,0.12950488924980164
19,7799,0.1291191428899765,
20,8189,,0.12902282178401947
20,8189,0.12907065451145172,
21,8579,,0.12924492359161377
21,8579,0.1289452612400055,
22,8969,,0.12926967442035675
22,8969,0.12890250980854034,
23,9359,,0.12947341799736023
23,9359,0.12876978516578674,
24,9749,,0.12900947034358978
24,9749,0.12872813642024994,
25,10139,,0.12894709408283234
25,10139,0.1285538673400879,
26,10529,,0.12904903292655945
26,10529,0.12838596105575562,
27,10919,,0.12917175889015198
27,10919,0.12829184532165527,
28,11309,,0.12874741852283478
28,11309,0.12823836505413055,
29,11699,,0.12856164574623108
29,11699,0.12814229726791382,
30,12089,,0.12881110608577728
30,12089,0.12795308232307434,
31,12479,,0.12869574129581451
31,12479,0.12795639038085938,
32,12869,,0.12851175665855408
32,12869,0.12790009379386902,
33,13259,,0.12841221690177917
33,13259,0.12781868875026703,
34,13649,,0.12825345993041992
34,13649,0.12776626646518707,
35,14039,,0.12823012471199036
35,14039,0.1277085244655609,
36,14429,,0.12849809229373932
36,14429,0.1276690512895584,
37,14819,,0.1284436285495758
37,14819,0.12757137417793274,
38,15209,,0.12822005152702332
38,15209,0.12749573588371277,
39,15599,,0.12866972386837006
39,15599,0.12751871347427368,
40,15989,,0.12789659202098846
40,15989,0.1274835169315338,
41,16379,,0.12784449756145477
41,16379,0.1273678094148636,
42,16769,,0.12859512865543365
42,16769,0.1272897869348526,
43,17159,,0.12788304686546326
43,17159,0.12723442912101746,
44,17549,,0.12790228426456451
44,17549,0.12725146114826202,
45,17939,,0.12824171781539917
45,17939,0.12720635533332825,
46,18329,,0.12803895771503448
46,18329,0.1270887404680252,
