epoch,step,train_loss,valid_loss_epoch
0,389,,0.14483365416526794
0,389,0.17195788025856018,
1,779,,0.13625378906726837
1,779,0.1418534219264984,
2,1169,,0.13023443520069122
2,1169,0.1342749446630478,
3,1559,,0.12789463996887207
3,1559,0.12954449653625488,
4,1949,,0.1245473325252533
4,1949,0.1270141452550888,
5,2339,,0.12446864694356918
5,2339,0.12415580451488495,
6,2729,,0.12397347390651703
6,2729,0.12344031035900116,
7,3119,,0.1222832053899765
7,3119,0.12233162671327591,
8,3509,,0.12072515487670898
8,3509,0.12145867943763733,
9,3899,,0.12010709941387177
9,3899,0.12041053920984268,
10,4289,,0.1196378692984581
10,4289,0.11990424245595932,
11,4679,,0.12098143994808197
11,4679,0.11929742991924286,
12,5069,,0.11994462460279465
12,5069,0.1193954199552536,
13,5459,,0.11855302006006241
13,5459,0.1189042329788208,
14,5849,,0.11910902708768845
14,5849,0.11846361309289932,
15,6239,,0.11934515088796616
15,6239,0.11830919981002808,
16,6629,,0.1187882050871849
16,6629,0.11810137331485748,
17,7019,,0.11852489411830902
17,7019,0.11758684366941452,
18,7409,,0.11757548153400421
18,7409,0.11743705719709396,
19,7799,,0.11789150536060333
19,7799,0.1172131597995758,
20,8189,,0.11790722608566284
20,8189,0.11706967651844025,
21,8579,,0.1179250106215477
21,8579,0.11659862101078033,
22,8969,,0.11747550964355469
22,8969,0.11646701395511627,
23,9359,,0.11757824569940567
23,9359,0.11638960987329483,
24,9749,,0.11753948032855988
24,9749,0.11641460657119751,
25,10139,,0.11843971163034439
25,10139,0.11677242070436478,
26,10529,,0.1171364113688469
26,10529,0.11615712195634842,
27,10919,,0.11718810349702835
27,10919,0.11598271876573563,
28,11309,,0.11696511507034302
28,11309,0.11587628722190857,
29,11699,,0.11649981886148453
29,11699,0.11532627046108246,
30,12089,,0.11692032963037491
30,12089,0.11558530479669571,
31,12479,,0.1172533631324768
31,12479,0.11559559404850006,
32,12869,,0.1169159933924675
32,12869,0.11515098065137863,
33,13259,,0.11712376028299332
33,13259,0.11518706381320953,
34,13649,,0.11704467982053757
34,13649,0.1152341216802597,
